Ticker,Current Price,Market Cap,P/E Ratio,Dividend Yield,Yahoo Rating,Market Index Rating
AQC.AX,0.007000000216066837,4903276,,,,
AR3.AX,0.11999999731779099,26622838,,,,
ASQ.AX,0.01899999938905239,5355340,,,,
ASM.AX,0.5400000214576721,120713232,,,,
AUI.AX,11.289999961853027,1400930944,28.225,3.54,,
AOF.AX,0.41999998688697815,69040864,,16.9,,
AVL.AX,0.009999999776482582,86346600,,,,
AVG.AX,0.12999999523162842,42830188,,,,
ATS.AX,0.008999999612569809,11908710,,,,
ASG.AX,3.440000057220459,696383296,21.5,2.33,,
AVA.AX,0.08100000023841858,23552048,,,,
AVD.AX,0.17499999701976776,14863625,,,,
AVE.AX,0.007000000216066837,22214220,,,,
AEV.AX,0.00800000037997961,34069120,,,,
AVW.AX,0.012000000104308128,2760000,,,,
AVH.AX,1.3049999475479126,176298976,,,,
AXL.AX,0.07100000232458115,12735199,,,,
AXI.AX,0.01600000075995922,6923424,,,,
AXP.AX,0.0010000000474974513,8355850,,,,
BBN.AX,2.9700000286102295,411505376,42.42857,,,
BPP.AX,0.004999999888241291,19034450,Infinity,,,
BTI.AX,1.2000000476837158,169183200,9.23077,6.0,,
BM1.AX,0.4300000071525574,147900208,,,,
BMR.AX,0.1550000011920929,31958366,,,,
BOQ.AX,6.889999866485596,4528493568,15.311111,5.22,,
BMN.AX,3.4000000953674316,698370240,,,,
BAP.AX,3.5,1191337088,43.75,3.14,,
BGD.AX,0.949999988079071,214382704,,,,
BSN.AX,0.04699999839067459,6630713,,,,
BAS.AX,0.02500000037252903,7984675,,,,
BMO.AX,0.001500000013038516,2204950,,,,
BRL.AX,0.7450000047683716,191979808,37.25,,,
BM8.AX,0.07100000232458115,11688730,,,,
BMH.AX,0.010999999940395355,1792725,,,,
BMM.AX,0.18000000715255737,23989860,,,,
BDX.AX,0.061000000685453415,22324048,,,,
BCI.AX,0.3499999940395355,1010628480,,,,
BPT.AX,1.1699999570846558,2703378432,,10.26,,
BLX.AX,3.069999933242798,738559040,23.615385,2.54,,
BCN.AX,2.200000047683716,232570800,,,,
BCC.AX,0.125,10802738,,,,
BMT.AX,0.20499999821186066,66828360,,,,
BTL.AX,0.30000001192092896,396168000,,,,
B4P.AX,2.180000066757202,105200696,16.769232,,,
BGA.AX,5.610000133514404,1718191488,,2.14,,
BRX.AX,0.10999999940395355,19439860,,,,
BFG.AX,1.2450000047683716,400929856,17.785715,4.82,,
BVR.AX,0.3050000071525574,31051440,,,,
BGL.AX,0.9200000166893005,1362289920,,,,
BEN.AX,12.670000076293945,7144195072,,5.21,,
BHD.AX,0.18000000715255737,4347936,,,,
